cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Doublet 0,0	Doublet 0,1	Doublet 0,2	Doublet 0,3	Doublet 0,4	Doublet 0,5	Doublet 1,1	Doublet 1,2	Doublet 1,3	Doublet 1,4	Doublet 1,5	Doublet 2,2	Doublet 2,3	Doublet 2,4	Doublet 2,5	Doublet 3,3	Doublet 3,4	Doublet 3,5	Doublet 4,4	Doublet 4,5	Doublet 5,5
45	4.76935e-07	0.00155702	0.232395	0.0198506	2.21381e-12	0.656294	3.28727e-09	2.14635e-05	0.0034368	0.00027364	1.67022e-06	0.00970567	4.34354e-06	4.90711e-05	3.90707e-06	6.75997e-07	0.000138579	0.00690161	0.00062561	3.81854e-06	0.0389809	2.49057e-05	3.04034e-07	0.00176675	8.26008e-15	1.07837e-05	0.0279521
46	1.40498e-19	0.969341	0.000108952	9.55864e-05	4.11873e-12	1.53369e-05	9.68383e-22	0.0133624	1.63524e-06	1.31766e-06	0.00460186	2.30188e-07	0.00270411	0.00301865	0.00243239	0.00186254	0.000424925	3.23564e-06	2.97668e-07	0.00103959	9.10941e-07	1.19928e-07	0.00083769	4.19017e-08	1.53676e-14	0.00014634	6.5321e-07
47	2.78845e-18	8.67469e-06	0.366713	3.83581e-05	5.3812e-22	0.554619	1.92194e-20	1.1958e-07	0.00363203	5.28765e-07	1.49602e-09	0.0054931	2.41993e-08	0.000149519	2.17676e-08	6.05493e-10	0.000226133	0.0108906	0.000661149	1.87057e-06	0.0329419	4.81263e-08	2.72325e-10	0.000999925	2.00781e-24	2.82906e-06	0.0236217
48	2.52847e-18	6.58968e-11	0.929585	1.51921e-10	5.88015e-17	0.0331398	1.74274e-20	9.08386e-13	0.00467685	2.09423e-12	4.2972e-13	0.00016673	1.83828e-13	0.000369276	1.65356e-13	1.73923e-13	1.31647e-05	0.0276066	0.000851341	0.000174689	0.00196836	1.90609e-13	7.82231e-14	3.03504e-05	2.19398e-19	6.22768e-06	0.00141145
49	8.93141e-34	6.38642e-10	0.265946	9.95733e-09	1.67404e-17	0.645193	6.15597e-36	8.80367e-12	0.00369248	1.37262e-10	3.67593e-12	0.00895806	1.78158e-12	4.31105e-05	1.60256e-12	1.48778e-12	0.000104587	0.007898	0.000672152	1.80005e-05	0.0383215	1.24931e-11	6.69139e-13	0.00163066	6.2461e-20	4.36699e-05	0.0274793
50	5.40329e-23	0.000939278	0.281276	0.00527855	0.481068	0.195758	3.72421e-25	1.29479e-05	0.00172234	7.27647e-05	0.000216215	0.00119868	2.62025e-06	5.57889e-05	2.35695e-06	8.75102e-05	3.88269e-05	0.00835328	0.000313522	0.00093161	0.0116271	6.62278e-06	3.93583e-05	0.0002182	0.00179494	0.000648365	0.00833748
51	7.91775e-26	4.55584e-11	0.39507	6.84066e-10	1.00575e-21	0.529113	5.4573e-28	6.28021e-13	0.00358758	9.42983e-12	6.17971e-13	0.00480481	1.27091e-13	4.34932e-05	1.1432e-13	2.50115e-13	5.82501e-05	0.0117327	0.000653057	4.27972e-05	0.031427	8.58269e-13	1.12491e-13	0.000874634	3.75263e-24	5.73179e-05	0.0225354
52	5.03009e-26	4.50679e-07	0.301252	7.18366e-06	5.5565e-21	0.615587	3.46699e-28	6.2126e-09	0.00313537	9.90266e-08	2.12072e-09	0.00640689	1.25723e-09	3.58063e-05	1.1309e-09	8.58334e-10	7.31676e-05	0.00894651	0.00057074	1.22228e-05	0.0365631	9.01304e-09	3.86041e-10	0.00116627	2.07322e-23	2.49764e-05	0.0262183
53	1.92103e-33	0.000223485	0.854496	3.18587e-05	1.43085e-16	0.0805229	1.32407e-35	3.08074e-06	0.00966827	4.39172e-07	1.16678e-06	0.000911084	6.23443e-07	0.0123458	5.60796e-07	4.72237e-07	0.0011634	0.0253766	0.00175994	0.00467576	0.0047827	3.99719e-08	2.12392e-07	0.000165847	5.33872e-19	0.000440617	0.00342953
54	9.33061e-26	0.103931	0.0304706	0.0467435	0.808153	0.00216523	6.43111e-28	0.00143268	0.000633375	0.000644358	0.000356187	4.50074e-05	0.000289929	0.00025635	0.000260795	0.000144162	1.82161e-05	0.000904907	0.000115295	6.37325e-05	0.000128605	5.86471e-05	6.48377e-05	8.19282e-06	0.00301535	4.52881e-06	9.22187e-05
